,Nickname,Review,Hashtag
13,bbang_is_life," 아몬드크림타르트 - (₩7500) - 크럼블 듬뿍인 비주얼이랑 뭔가 맛있어보이는 네이밍에 혹해서 겟! 아몬드크림답게 꼬수우면서 달달했지만, 생각보다 좀 많이 달았다. 이 때 식사랑 같이 주문했던 빵이라 그런지 단걸 좋아하는 나한테도 좀 달게 느껴졌다 대신 가끔 못하는 곳 가면 아몬드크림에서 역한 향이 나는데 그런건 없었다! 딴말이지만 식사류 깔끔하니 맛있다 - -","타르틴베이커리,빵라잎_서울,빵라잎_빵,도산공원카페,아몬드크림,아몬드크림타르트"
14,chochuchochu,nan,"목동,오목교,카페,이기스,이기스카페,ygiis,타르트,먹방,먹부림,맛집,푸드스타그램,먹스타,먹스타그램,맛스타그램"
15,ming._.log," "" "" 의 "" "" (₩1,900) . 겉은 약간 바삭하고 쫀쫀하게 구워진 휘낭시에! 쫀쫀한 겉 부분의 식감과 달리 속은 은근 촉촉한 식감이었다 . 휘낭시에 위에는 피칸이 후두두두두둑 박혀있어서 한입 한입 먹을 때 마다 버터의 풍미와 피칸의 고소함이 어우러진다 . 버터 많이 쓰는 디저트샵 들어가면 나는 버터향 그게 휘낭시에 먹는 내내 솔솔 나고 맛도 버터의 맛이 계~~속 나서 행복했다 . 얼빵으로도 먹어봤는데 얼빵일 때 더 쫀쫀한 느낌이었다. 그치만 내 스탈은 갓빵 따빵 휘낭시에 . 구움과자는 작지만 아주 큰 힘을 가지고있는 매력덩어리다","니생각이났어,카라멜피칸휘낭시에"
16,gd_observer, 분위기 좋음...음료는 괜찮은데 빵은 그렇게 맛있진 않았음! 반려동물 동반 출입가능 카페라 댕댕이 데려오는 손님들이 있어서 구경하느라 행복했던 기억이 난다. 음료는 4~5천원 대가 대부분이었고 아인슈페너랑 딸기음료 맛있었음! 위치가 석촌역에서 좀 많이 걸어야 됨,"석촌역,나우나우나우"
17,happiness_hyen," 맛집 탐방은 씐나는 일 ""한 번 먹어보시라요, 동무"" 리얼 오픈 주방!ㅋㅋ","작은도쿄,숙대맛집,텐동,텐동맛집"
18,steamed68bread,nan,"직장에서20분거리,퇴근후,서해바다,궁평항,바다,노을,sunset"
19,sty8183,nan,"신촌,경의선숲길,카페,cafe,커피,coffee,써밋,summit,써밋컬쳐,summitculture,브루잉,에티오피아,게이샤빌리지,오마,동네카페,카페투어,커피스타그램,카페스타그램,소확행"
20,duck_f.d.p," 리얼 크림 생맥쥬 존맛탱 인생맥주등극! 근데 사진들 무엇이야!그켬!대충찍고 쳐묵 다른건 찍지두 않앗네,, 먹스타 애정 식었나 . . .","소통,좋아요,일상,일상스타그램,선팔,맞팔,fff,l4l,follow4follow,follow,lfl,f4f,팔로우,potd,daily,좋아요반사,instagram,인스타,like,먹스타그램,카페,먹방,맛집,먹부림,cafe,food,Delicious,foodstagram"
21,gd_observer, 석촌호수 쪽에 있는 이 메뉴 이름은 (5.0) 바나나파우더+커피+우유+크림 조합은 바나나우유에 샷 추가한 맛인데 달달하니 맛있다. 이거 말고도 카페 시그니처 메뉴들이 많아서 다음에 또 와서 다 마셔볼 듯 오늘 카페탐방도,"카페에디트,바나나라떼,맛있다,성공적"
22,fortune0216, 어제 달이랑 야경이 너무 이쁘길래 찰칵! 낮에는 볼 시간이 많이 없으니 저녁에라도 많이 봐 둬야지! . .,"야경,야경스타그램,일상,데일리,일상스타그램,데일리그램,달,달이이쁘더라,무념무상,아무생각이없고,아무것고하고싶지않지만,그럼에도불구하고"
23,gd_observer, 성내동 상당히 롑쁘네여. (4.5) (3.8) 아메는 시고 도미넌트커피는 코코넛 맛남. 시그니쳐가 맛있음. 의자가 좀 불편하지만 분위기는 좋다...,"도미넌트커피,도미넌트커피,아메리카노"
24,sty8183,nan,"가산,가산디지털단지,카페,cafe,커피,coffee,빡빡이커피,카페투어,커피스타그램,카페스타그램,소확행"
25,fortune0216, 에서 먹은 ㅋㅋㅋ 건강한 맛이다ㅋㅋㅋ 건강한 맛인데도 ,"마치래빗,치도,치킨마요,꿀맛,신사맛집,맛스타그램,먹스타그램,일상스타그램,일상,데일리,이거먹고디저트,결국조삼모사,다이어트는내일부터,욕망주스,마실꾸야"
26,a_dcafeartgram," 오래간만에 카페 투어 8탄!! 수원역 [열대야] 접근성이 아주 좋지는 않지만 조용하고 대화나누기 좋은 분위기가 제 취향이었어요  따뜻한 쑥라떼는 갈려진 쑥이 입속에서 씹히면서 고소한맛이 나고요, 은근 달콤하고 맛있었어요 이곳의 커피는 유명한 프릳츠 원두를 사용해 약간의 산미가 있긴하지만 콜드블루 커피를 좋아한다면 정말 추천드려요! Cafe tour Suwon Station <Yeol Dae Ya> The cafe is a bit far from the station but the mugwort latte was delicious. It has a bitter sweet flavor and is super healthy","카페투어,카페탐방,cafetour,cafe,카페,카페추천,수원역카페,수원역맛집,수원카페,수원맛집,수원역놀거리,수원데이트코스,homecafe,홈카페,맞팔해요,선팔하면맞팔,followback,placetovisitinkorea,deliciouscafe,christmas"
27,bbang_is_life," 크로플공간브런치 (₩7000/15000) - - 오픈샌드위치 먹고싶어서 갔는데 품절 과카몰리 먹고싶었는데에 카페 내부는 아기자기하고, 해리단길에 위치하고있다. . 크로플은 괜찮긴 한데 진짜 너어무 작은 크로플이었다.. 크기가 넘 작아서 당황..! 하지만 아이스크림이 맛있 브런치는 설탕이 좀 많긴 했지만 프렌치토스트가 너무 부드럽고 달달해서 좋았다 -","12공간,빵라잎_부산,크로플,해리단길카페,해운대브런치"
28,cafe._tambang, 이전 카페 기록하기 ღ'ᴗ'ღ . . . . .,"인스타충의_카페탐방,일산,밤리단길,일산카페,밤리단길카페,밤리단길카페추천,온더테이블,보타니카바이선리,botanica_cafe,먹스타그램,맛스타그램,커피스타그램,카페스타그램,좋아요,좋아요반사,인친,소통"
29,cafeplace_forme," . 꽃다발 또는 꽃 한 송이, 그리고 커피 .","카페,카페스타그램,일산카페,일산카페추천,고양시카페,정발산카페,정발산역카페,정발산카페추천,장항동카페,경기도카페,경기카페,플라워카페,카페탐방,바바라플라워카페,플라워카페,인스타감성카페,카페투어,카페투어그램,카페바바라,cafe,koreancafe,カフェ,韓国カフェ,韩国咖啡馆,咖啡馆"
30,chochuchochu, ,"아빠,생신,축하해요,happybirthday,부녀,케이크,cake,기름,반짝,잠옷,파자마,pajamas,instasize"
31,chochuchochu, 세실리아 아닌,"도산공원,세시셀라"
32,sty8183,nan,"공덕,카페,cafe,커피,coffee,브루니치,brewniche,브루잉,에티오피아,모모라,플랫화이트,카페투어,커피스타그램,카페스타그램,소확행"
33,bbang_is_life, 플레인식빵 (₩5500) - - 사실 주문하기 전 부터 각오(?)는 했지만 역시나.. 식빵 자체는 조금 평범.. 그런데 잼이 맛있었다! 그리고 자두에이드가 너무 맛있었다 잼이랑 에이드 맛집이긴 하지만 냉정하게 빵맛집이라고는 할 수 없.. -,"쿠오리노,빵라잎_부산,자갈치카페,부산카페,식빵"
34,bbang_is_life, 야채빵 - 싸전 근처에 있는 강릉 유명 빵집 줄이 진짜 길어서 오래 기다렸던 기억 그래도 바로방은 빵을 계속해서 만들기 때문에 싸전 갔다가 바로방가는 코스 추천드립니다요 - -,"바로방,빵라잎_강릉,빵라잎_빵,조리빵,도나쓰,야채빵"
35,ming._.log," "" "" 의 "" "" (￦5,000) . 퐁신퐁신 부드러운 쑥 시트, 인절미크림과 크림 속에 숨겨진 떡!!!!!! 그리고 위에 인절미맛 크럼블까지 >___< 내가 다 좋아하는 것들 모움집... 할매입맛 최고오오오 . 처음에 윗부분 크럼블이랑 크림만 살짝 떠 먹었을 땐 떡 있는 줄 몰랐는데 떡 있어서 깜놀 떡은 그냥 빙수 떡 같아용 떡수니는 빙수떡도 조하~~ . 쑥시트도 쑥 맛이 매우 약한 부드러운 시트이고 인절미크림도 묵직하기보다는 가벼운 맛의 느낌이라 흔히 생각되는 티라미수와 비교하면 훨씬 가볍게 즐길 수 있는 할매입맛 디저트인거 같아요 . 밤나무과자점 흑임자크럼블의 인절미버전 같은 느낌이었요 밤나무과자점이랑 니생각이났어 둘 다 사랑 뜬금없는 밤나무과자점ㅎㅋㅋㅋ","니생각이났어,인절미티라미스"
36,chochuchochu, 바니,
37,chochuchochu, ,"오빠짱,오카짱,에어맥스270리액트,커플운동화"
38,lee.seungeun79," 군포 한옥 까페 베이커리로 유명한곳 따뜻한커피와 빵, 우유빙수 내 반쪽이랑 평일 땡땡이가 진리!",
39,jg_shin__, 밤에 찍으니 다른느낌,"밤길,산책,단풍"
40,a_dcafeartgram," 집에서 만들어본 팬케익입니다 :) 원래는 Belskiver 이라는 안에 잼이나 초코를 채워 먹는 팬케익용 믹스를 선물 받았는데, 전용 틀이 필요해서 그냥 팬케익으로 만들었어요 맛은 정말 평범한 팬케익입니다 ㅋㅋ 그냥 마트에서 믹스 사는게 편할거같아요..! 그래도 이쁘게 차려보았습니다","디저트,홈카페,요리스타그램,리빙,홈카페그램,homecafe,dessert,pancakes,cooking,홈카페놀이,집밥스타그램,빈티지컵,맞팔,선팔,앤틱찻잔,감성,desserts"
41,cafetour_jinson," ——————————— menu pick 아이스크림라뗴,밀크티,스콘————————————————————————-디저트 2종  오늘 소개할 곳은 집에서 멀지 않은 곳에 위치해있는 오츠커피. 공간이 이색적이라는 소문을 듣고 방문했다. 일본에 한적한 장소를 떠올리게할만한 장소였다. 요즘 여느카페와 비슷한 느낌의 목재로 이루어진 인테리어지만 넓직한 테이블과 깔끔한 소품들 그리고 한적한 동네에 위치해 있어, 편안한 느낌을 더해준다. 메뉴들도 퀄리티가 있는 편이다. 크게 특별할 것은 없지만 단조로운 메뉴에 디테일이 있어 한잔을 맛있게 즐길 수 있는 곳이라 생각된다. 여러가지 굿즈들도 준비되어있다. 요즘따라 편안한 공간에 대해 관심이 많고 이곳도 편안한 공간이라는 생각이 든다. 그냥 편한 티에 반바지만 입고 , 수다떨기 좋은 느낌이랄까 들려보면 좋을 것 같다 ——————————- 주차 공간 문의바람 영업시간 일요일 12:00 - 20:00 공휴일 12:00 - 20:00 평일 11:00 - 20:00 토요일 12:00 - 20:00 서울 용산구 원효로89길 13-12 _________________________________ 3,8/5 [*고객의 선택을 위한 주관적인 기호에따른 개인 가이드 점수입니다. 여러가지 복합적인 평점으로 타 카페의 어떠한 비방의 목적도 아님을 밝힙니다]","오츠커피,오츠커피,카페투어,커피,카페,바리스타,카페추천그램"
42,chochuchochu,nan,"바나나토크,세종대카페,모패송년회"
43,chochuchochu, . .,"강변cgv,씨네앤포레,창궐,도치피자,강변맛집,마장동카페,인더매스"
44,sty8183, 나도 먹어본다 타이거슈가!,"공덕,타이거슈가,밀크티,흑당밀크티,쩐주,보바,카페스타그램"
45,chochuchochu,nan,"동그볼,뚝섬유원지,불토"
46,chochuchochu, 역시 밥은 이지 ,스팸
47,duck_f.d.p, 스타일난다핑크풀카페  . . . .,"스타일난다,스타일난다핑크풀카페,stylenanda,맛스타그램,맛,소통,좋아요,일상,일상스타그램,선팔,맞팔,팔로우,potd,daily,좋아요반사,coffee,instagram,인스타,like,먹스타그램,카페스타그램,카페,먹방,맛집,먹부림,존맛탱,jmt,cafe"
48,chochuchochu,  . 저번주는 이번주는 저번주는 이번주는,"영화스타그램,증인,사바하,우성오빠,정재오빠"
49,chochuchochu, 수다쟁이들 ,"퇴근후,불목"
50,bbang_is_life," 청양바게트샌드위치+ α (₩16000+79500) - - 우선 빵라잎픽은 두번째 사진에 있는 피쉬앤칩스음식이라 두번째 사진으로 미뤘는데 저는 여긴 피쉬앤칩스 먹으러 갑니다.. . 피쉬앤칩스 맛집이지만 다른것들도 다들 평타 이상! 무난하게 맛있다 채광도 좋고 플레이팅도 예쁘게 나오고 웨이팅도 없구(젤 중요) 백합파스타가 간이 좀 쎈 것 빼구 . 청양바케트는 버섯이 엄!청! 많이 들어있다. 치즈는 안쪽에 있는데, 그래서 초반엔 버섯향이 엄청 강하다. 바게트 빠쟉빠작 맛있고, 식사를 건강하게 하고싶을 때 먹으면 좋을 샌드위치 청양고추가 들어있어서 살짝 매콤하지만 그래서 덜 느끼하다 -","정식카페,빵라잎_서울,빵라잎픽,청담브런치카페,청양바케트샌드위치,피쉬앤칩스,백합파스타,치킨리조또,바질토마토에이드"
51,chochuchochu, 어제자 . .,"볼링,강변맛집,산골닭갈비,동그볼"
52,chochuchochu, 마시쪙,"불족발,창신동,먹방"
53,ming._.log," "" "" 의 "" "" (￦3,200) . 콩가루 옷 입고있는 쑥 스콘을 할매입맛은 그냥 지나칠 수 없으니 . 이전에 올렸던 시오사토와 같이 적당한 목막힘을 느끼게해주는 같바속촉의 스콘 겉의 콩가루 때문에 시오사토보다 더 목 막히는 느낌이었다. 콩가루로 퍽퍽함 더하기 . 분명 스콘인데 묘하게 콩고물 묻은 쑥인절미가 생각이 났던...ㅋㅋㅋㅋㅋㅋ 쑥의 쌉싸름함과 콩가루의 고소한 맛에 달달한 맛은 잘 느끼지 못했어용 . 제 기준 쑥맛이 어어엄청 진한편은 아니었지만 그래도 나름대로 만족스러웠던 쑥 스콘 . 마지막은 사장님이 서비스로 주셨던 미니초코칩스콘(?) 그나저나 사진이 하나같이 다 못생겼네..","은비스브레드,쑤우욱"
54,sty8183,nan,"홍대,카페,cafe,커피,coffee,블로트커피,blotcoffee,브루잉,콜롬비아,세로아줄,게이샤,카페투어,커피스타그램,카페스타그램,소확행"
55,yamu_jin_so_n, 우와 어디야??,
56,duck_f.d.p, 지중해 건강식 파스타? ㅎㅎ 피자가 더마싯어따 . . .,"맛스타그램,맛,소통,좋아요,일상,일상스타그램,선팔,맞팔,팔로우,potd,daily,좋아요반사,instagram,인스타,like,먹스타그램,카페,먹방,맛집,먹부림,존맛탱,cafe,food,Delicious,foodstagram,파스타,피자,지중해파스타"
57,cafefae, 사송,
58,chochuchochu,nan,"무보정,아무도_생일아님,가족사진,사진다방"
59,_im_cafe, Hillside table  사람 없을 줄 알았지만 대기  단호박 스프가 젤로 맛있었다ㅋㅋㅋ 샌드위치 먹고 싶었는데 품절ㅠㅠㅠ  건강한 맛만 먹고 왔다구우 ,"브런치,서울,경복궁카페,hillsidetable,힐사이드테이블,북한산,카페투어,건강한맛,브런치카페,카페스타그램,종로,샐러드맛집,광화문"
60,chochuchochu, 의,"강릉,추억"
61,duck_f.d.p, 호랑이카페 딸기 대따커  . . .,"맛스타그램,맛,소통,좋아요,일상,일상스타그램,선팔,맞팔,팔로우,potd,daily,좋아요반사,instagram,인스타,like,먹스타그램,카페,먹방,맛집,먹부림,존맛탱,jmt,cafe,food,Delicious,foodstagram,followforfollowback,likeforlikes"
62,ssom.cafe_zip,nan,"카페티타,포항,카페스타그램,포항카페"
63,fooodie.3fu_fa, 맛  (5/5) 분위기  (3/5) . 첫 게시물은 내 기준 1등 수제버거가게 서울갈 때 재방문하는 맛집이 많지 않지만 여기는 가끔 생각이 나서 재방문했다 데려간 친구와 동생 모두 만족한 맛집 아직 안먹어본 유명한 수제버거가게가 많지만 아직까지는 바비브로스 더블치즈버거가 1등이다 불향가득한 패티와 치즈의 조화가 최고 마늘이 푸짐하게 들어가 있고 마늘향도 좋았다 어니언마요네즈소스 존맛!,"바비브로스,바비브로스버거앤쉐이크,더블치즈버거,갈릭버거,어니언마요네즈프라이"
64,fooodie.3fu_fa," . 맛  (4/5) 분위기 (4/5) . 갬성 브런치 맛집 탱글탱글한 반숙의 맛을 잘살린 짭잘한 베이컨, 담백한 소스와 폭신한 빵의 조화 상큼한 발사믹 소스 샐러드로 입가심까지 깔끔한 맛 속을 달래주는 부드럽고 은은한 단맛의 롱브레드 방문하면 필수 주문하세용! 같이 나온 빵 찢어서 함께 먹으면 꾸르맛  월요일도 모두 고생 많으셨어요","롱브레드,롱브레드서래마을,에그베네딕트,브로콜리스프"
65,yo_uouou,nan,"스몰스토어,체리크림모카,더치비엔나"
66,chochuchochu, 이대로 시간이 멈췄으면하는  . .,"일요일저녁,살려줘그램,셀피,셀스타그램,나인헤르츠"
67,cafefae, ,
68,jg_shin__," 역시! 카페에서 책 한 페이지를 한 시간동안 읽기! 너무 여유롭고 좋아요 (~잉여 잉여~). 조급하게 서두르지 않아도 되고, 제가 편안하다고 느끼는 속도로 읽고 이해할 수 있다는 것. 저만의 힐링방법이랍니다","독서,힐링,카페,카페스타그램,취미"
69,ssom.cafe_zip,nan,"성동가가,경주,카페스타그램,경주카페,읍성카페,큐브라떼맛집,분위기맛집"
70,sty8183, @lotus_7_20 (@get_repost) ・・・ [로스팅 팡팡팡 심사기준 및 참관자모집 공지]. • 2020년 1월 31일(금) 오후6시 엘카페로스터리 선유도점  심사기준. 1. 공식 그라인더: @ditting_korea 804 스위트 랩 2. 방식 : 커핑(Cupping) -커핑원두양 : 11g -분쇄도 : 8 -컵사이즈 : 200밀리 커핑컵 -물온도 : 92~96도 사이 최대한 동일한 컨디션에서 커핑하겠습니다. - 로스칭팡팡 파티 참가자는 6시 시작될 파티의 원활한 진행을 위해 (원두제출 및 준비) 5시30분까지 파티장에 와주시기 바랍니다. . . [참관자 모집] - 참관인원 : 20명(선착순 덧글) - 참관비 : 1만원 - 참관자는 심사 하실 수는 없습니다. 조용히 관림 및 응원만 가능 하십니다. - 참관자는 6시 딱 맞춰 와주시기 바랍니다. 미리오셔도 참가자들 준비로 입장이 어려울 거 같습니다. - 참가자와 참관자를 위해 자그마한 선물과 소소한 이벤트가 있을 예정입니다~,Repost
71,a_dcafeartgram," 카페탐방 12! 이곳은 연남동 <카페 레이어드> 내부가 빈티지스럽고 주택형 카페라 외관도 예쁘네요  스콘이 고소하고 맛있어요! 카라멜 소스가 올려져 있습니다 음료는 대체적으로 무난하게 맛있는 것 같습니다! 평일에 왔는데도 앉을자리가 없을정도네요! 조금 붐비는 것 빼고는 다 좋았습니다. This is <Cafe layered> in Yeon nam dong The interior is vintage style and the exterior is pretty big and beautiful! However, it is too crowded.","카페탐방,카페투어,카페추천,연남동카페,가좌역카페,연남동맛집,연남동,홈카페,homecafe,placetovisitinkorea,tastycafe,photo,cafephoto,coffee,caferecommendation,cafetour"
72,sty8183,nan,"공덕,경의선숲길,카페,cafe,커피,coffee,브루니치,brewniche,브루잉,볼리비아,동네카페,카페투어,커피스타그램,카페스타그램,소확행"
73,kkjihui, 요즘같은 세상에 파스타를 먹었더니 장미를 주다니... . . .,"어썸로즈,파스타맛집,분위기좋은,신사,가로수길,장미득템,삶에찌든,직장인두명,힐링,selfie,맞팔,일상,소통"
74,ming._.log," "" "" 의 "" "" (￦5,500) . 10분 자연해동시 아이스크림처럼 20분 자연해동시 푸딩처럼 먹을 수 있다는 사장님의 안내에 따라 빵동고에서 꺼낸 후 우선 10분의 기다림의 시간을 가져봤다(너무 힘든 10분이었다... 얼빵 해동시간이 세상에서 제일 길게 느껴지는 사람ㅋㅋㅋㅋ) . 리틀포레스트에서 태리배우가 그랬던거처럼 포크로 탁!치면 설탕코팅층이 깨지는 그런 장면을 상상했는데 꽝꽝 언 상태라 포크가 흠집만 낸 현실ㅠㅠㅠㅠㅠㅋㅋㅋ . 사장님 저 바닐라빈 쏟아 부으신 줄 알았어요???!!!! 인공적인 바닐라맛 절대 아니고 바닐라빈이 주는 그런 바닐라향과 맛으로 가득해서 좋았어요 . 밑에 크림층과 위에 설탕코팅층까지 한번에 푸욱 떠서 먹으면 달고나스러운 맛과 부드러운 크림의 맛이 달달한 조화를 이룸!! . 맛만 보고 다시 넣어둘려했는데 다 먹음;;;;;;;; 바닐라빈 듬뿍 크림 큰 통에 얼려두고 아이스크림처럼 마구 퍼먹고싶었다 증말.... 사장님이 나중에 크림만 파시면 내가 다 사러 가야겠다ㅎㅎㅋㅋㅋㅋㅋㅋㅋ","화단과자점,크렘브륄레"
75,chochuchochu,nan,"컬러오브커피,커피스타그램,에그타르트"
76,cafestagram_icn, 여행지에서의 카페를 좋아합니다. 특별한데 여유로운 그 느낌이 좋아요 이제는 추억이 되어버린 카페네요.. 자유롭게 다닐수있는 그때 까지 다들 힘내요!  . . . . . .,"치앙마이,여행,phuffinterrace,여행일상,카페,여행스타그램,카페스타그램,카페추천,치앙마이카페,태국여행,coffee,chiangmai,thai,thaitraveling,tripstagram,travel,traveling"
77,suljjin," 남해 “cafe 톨” 급 남해로 드라이브갔다가 들린 카페 유채꽃밭이 너무 예뻐서 봤더니 다랭이마을에 이런 카페가 쌀로 만든 빵에, 드립커피도 너무 맛있고, 요거트도 너무 맛있어서 흡입 다먹어가니까 손님들이 한두팀씩 와서 얼른 자리 비우기..! 사장님도 너무 친절하시고 이제 유채꽃 지면 메밀꽃을 심으신다던 올 가을쯤에 다시 들려봐야지","남해,남해카페,카페톨,cafe_tol,남해맛집,남해여행,남해카페추천,다랭이마을,다랭이마을카페,남해다랭이마을,독일마을,남해독일마을,유채꽃밭,쌀빵,드립커피,요거트,전부,맛있음,포토존,포토존카페"
78,chochuchochu, 그 유명하다는,"아우어인절미,생크림카스테라인절미,카스테라인절미,쫀맛탱"
79,yo_uouou,nan,"디어블라썸커피,복숭아우유"
80,cafejowa, 케익은 투썸,"천안카페,카페스타그램,투썸플레이스,카페조와"
81,yamstagram_always, 여름엔 수박  겨울엔 귤 ,"수박쥬스,마들렌,디저트스타그램,먹스타그램"
82,homebab.cafe, 와인과 식물이 있는 홈레스토랑 . .,"손님은엄마,앙버터,알리오올리오,감바스,토마토샐러드,홈푸드,홈카페,요리스타그램,집순이스타그램,집을_레스토랑으로_만들어보자,싱푸드,좋반,f4f"
83,chochuchochu, 열심히 일하고 들어왔더니 매일매일 ,"뙇,부탁해요"
84,fortune0216," 두려움에 맞선다는 건 너무 힘들고 어려운 일이지만, 도망가고 싶지만 그럼에도 불구하고.","그래도힘을내야지,갑분해시태그,이미지에충실해볼까,캐나다,canada,여행,여행스타그램,다시가고싶다,한나와함께했던꿀잼캐나다여행"
85,cafe_charmjin, <LLAF COFFEE> 신정호에 있는 라프커피 내부보다 외관이 매력적인 카페 신정호를 유리창너머로 볼 수 있는 카페 테라스도 있고 2층으로 되어있어서 공간도 넓고 커피 맛도 좋은 카페 보이는 시골뷰가 매력적인 카페 라프커피,"신정호카페,라프커피,아산카페,신정호,llafcoffee,카페,아산,천안카페,천안"
86,yamstagram_always,  리치망고는 왜 언제먹어도 맛있을까  달콤한 호박맛 헿 ,"망고쉐이크,우도,리치망고,망고쉐이크,먹스타그램"
87,sty8183,nan,"연희,연남,카페,cafe,커피,coffee,카페투어,디폴트벨류,defaultvalue,수박주스,커피스타그램,카페스타그램,소확행"
88,ming._.log," "" "" 의 "" "" (￦3,000) . 초록이 치아바타!!! 할매입맛인 나는 요즘 할매입맛 저격하는 디저트들이 많이 나와서 넘 좋으다 . 메밀쑥쑥 얘는 내가 쑥이다아아아!!! 하면서 쑥이 엄청 자기 주장 강하게 하는 그런 치아바타는 아니지만 기분 좋게 만드는 향긋한 향이 은은하게 나와서 너무너무 좋았어요 . 그리구 기공 짱짱한거 보이시나요 커팅된 단면 보자마자 기공 보고 감탄 또 감탄했쟈나여ㅠㅠㅠ . 맛보라고 주신 플레인스콘도 너무 맛있어서 사고 싶었지만 다음을 위해 아껴두었어요... 엄청 친절하신 두분 덕에 빵 사고 나와서 기분 좋게 하루를 마무리 할 수 있어서 행복합니당","효모,메밀쑥쑥"
89,clubrsv_38,nan,"청담카페,커피스타,커피타임,커피,커피숍,좋반환영,좋테,좋반댓,선팔,ootd,daily,데일리"
