,Nickname,Review,Hashtag
4196,foodinary_shsh, 2020.02.20 가로수길  사케동이 먹고 싶어서 갔다가 입구까지 퍼진 숯불 향에 기대 한가득으로 입장!! 생각보다 사람들이 꽉 차 있었고 운 좋게도 입구 옆에 오픈되어있긴하지만 방처럼 생긴 제일 아늑한(?) 곳에 앉았당!! 힣  그리 비싸지도 않은데 세트구성과 런치메뉴는 가성비갑!!! 2인이라면 무조건 세트를 시키는 이득일 듯하다!  대창덮밥에 꽂혀서는 또 대창덮밥을 시켰는데 역시나 존맛..! 처음 먹었을 때의 감동정도는 아니라 형훈텐동이 더 맛있었던 거 같은데 더 저렴하기도 하고 숯불 향이 대박이라 나름 만-족!! 숯불우동도 숯불 향과 풀떼기 향에 엄청 담백한 궁물이라 대창이 쪼매 느끼할 때마다 먹기 좋았당!! 여기에 연어초밥까지!!  흐흐흫 인기많은데 이유가 있구먼 . . . 서울 강남구 압구정로10길 30-3  숯불대창덮밥 10000원  숯불우동(라멘) 9000원  연어 초밥 10ps 12000원 커플 세트(음료포함) 30000원 ,"다이칸야마키친,신사동맛집,홍대돈부리,대창덮밥,숯불우동,가로수길맛집,압구정맛집,koreanfood,오늘뭐먹지,커플세트,가성비갑,푸디너리압구정,푸디너리서울,푸디너리가로수길"
4197,o_ourcafe, - 툇마루보다 난 여기 !,"강릉카페,초당커피정미소"
4198,comoosoo, 안녕인사동에 있는 소진담 딸기퐁듀 케이크 아메리카노랑 같이 먹으니 꿀맛 . . .,"소진담,인사동,데이트,인사동카페,인사동데이트,인사동디저트,인사동맛집,카페,핫플,푸드스타그램,맛스타그램,서울카페,간식,먹스타그램,오늘뭐먹지,온더테이블,케이크,디저트,케이크맛집,일상,데일리,존맛탱,JMT,food,daily,cake,안녕인사동,dessert"
4199,_cafe_e, 커피베이,
4200,kgm868686, 2018.9.24. 개봉때 못봤었는데 추석특선영화로 봤당 너무 화나고 슬프고...,"군함도,추석특선영화,황정민,소지섭,송중기,영화스타그램,화난다"
4201,maeng._.ing, 카투 ღ ღ,"대구,옥포,송해공원,어로우커피"
4202,yun.sojin,,라네즈
4203,lovelys._.ss,,"양산카페,0731커피로스터스"
4204,time2drink_coffee, 아가 두명 돌보기는 정신없어,"세종시카페,조치원카페,고복저수지,고복저수지카페,라포레스타,laforesta,베이커리카페,식빵"
4205,cafe_onni,,"충주카페,연수동카페,모이까,충주맛집,연수동맛집,충주베이커리,충주빵집,카페스타그램,카페투어,onni_충주"
4206,kgm868686, 2019.02.22.,"잼라이브,우승,소확행,간만에우승,714원,아부지도,우승ㅋㅋ,같이우승,계속,2개틀려서,아쉬웠는데,드뎌ㅋㅋ,앞으로도,쭉,도전,퀴즈중독,스크래치중독"
4207,kgm868686, 2019.07.04. 스파이더맨파프롬홈 개봉해서 보러가기 전에 안봤던 전편봤다 내가 좋아하는 아이언맨도 나오고 재밌네 ㅎ,"스파이더맨홈커밍,영화스타그램"
4208,comoosoo, 가든상점에서 주문한 리얼 크림치즈인절미 고구마 크림치즈 인절미 오리지널 떡! 얼려먹으면 맛있다는 후기가 많아서 나도 한번 얼려먹어봤는데 아이스크림 먹는것같고 진짜 맛있다 날더울때 얼려먹으면 꿀맛 떡안에 크림치즈가 듬뿍이라 꿀맛 간식으로도 아침식사대용으로도 좋은 가든상점 크림치즈인절미 . . 구입 @garden_store_ . .,"가든상점,떡,떡맛집,떡추천,맛집,크림치즈,크림치즈인절미,크림치즈인절미고구마,간식,아이간식,간식추천,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
4209,kgm868686, 2019.03.29. 원하는 도서 신청하면 으로 준당 좀 해볼까하고 안되길,"4월,생일자,회사,선물,도서,생선,영어공부,야나두_영어회화,작심삼일,감사합니다"
4210,kgm868686, 2020.06.12. 배는 불러도 마무리로 카페~ 테이크아웃해서 ㅎㅎ 근데 요기 테이크아웃잔이 리유저블 컵같은거라서 넘 맘에듬 ㅎㅎㅎ 재활용해서 쓸수 있어서 좋다 ㅋㅋ 몇번 아이스커피 요기 마셔도 될거 같음 ㅎㅎ,"저녁,모임,동래,하이오커피,동래역점,3차,마무리,아이스아메리카노,플레인요거트스무디,카페스타그램,일상,소통,좋아요,굿,배불"
4211,taxxy._.gram, 토실토실한 초밥들 하나하나 먹을 때마다 기분 . . . . . . . .,"먹스타그램,먹스타,일상스타그램,먹방,맛집,맛집스타그램,맛스타그램,음식,음식사진,음식스타그램,맞팔,존맛,선팔,좋아요,좋아요반사,좋반,foodie,푸드스타그램,소통,팔로우환영,선팔맞팔환영,먹스타맞팔,데일리,daily,l4l,f4f,foodstagram,followme,초밥,초밥맛집"
4212,time2drink_coffee,,"모디팩트,모디스트임팩트,세종시카페,조치원카페,소금커피맛집"
4213,kgm868686, 2019.03.29.,"점심시간,소문난횟집,우리과,4월,생일자,점심사주심,감사합니다,우럭매운탕,굿굿,얼큰하다,맛있당,먹스타그램"
4214,comet.way, 2층이 환상적이었는데! ㅡ 2016 가을,"대림창고,성수카페"
4215,foodie_mingg, . .,"온더선셋,거제카페,거제핫플,거제핫플추천,푸밍_거제,onthesunset,거제온더선셋,거제도여행,거제도카페,거제성포카페,카페,카페스타그램,카페추천,카페투어,거제카페추천"
4216,comet.way," ㅡ 본의 아니게 삼고초려가 됐다. 처음엔 휴무, 두번째는 만석, 세번째에 성공! 비엔나 시켜놓구 신랑이 주문한 드립을 자꾸 뺏어먹었다. 미안 푸딩 잘 안먹는데 여기 푸딩은 맛있다 앞으로도 종종 푸딩에 도전해봐야지 ㅡ","아이들플로어,아이들모먼츠,idlefloor,idlemoments,서교카페,서교동카페,합정카페,서울카페,커피맛집,디저트,디저트카페,카페투어,서울,카페,커피,일상,기록,카페스타그램,커피스타그램,cafetour,cafestagram,seoulcafe,koreacafe,seoul"
4217,kgm868686, 2018.5.13.,"진해여행,진해드림파크,푸릇푸릇,좋다,이런곳도있었구낭,여행스타그램"
4218,beatus__utopia, 믿고 먹는 .,"레이어드,찌니_연남동"
4219,_coffeeismylife_,,"카페스콘,스콘,연남동,연남동카페,카페탐방,일상,먹스타그램,맛스타그램,카페스타그램,서울,서울카페"
4220,cafe_girok, 여유로운 오후를 보낼수있는 카페  양씨네제빵소  달콤한 초콜릿향과 다양한 베이커리가 돋보인다. —————————————— where : 서울 동작구 성대로1길 18-5 when : 09:00 - 22:00 (월요일 휴무) what : 아인슈페너 (5.5) 초코바나나크로아상 (4.5),ㅋㅍㄱㄹ
4221,cafe.touring, 마지막 남은 스콘 겟,
4222,cafe_onni,,"투썸플레이스,투썸크로크무슈,크로크무슈,아메리카노,스트로베리라떼,카페스타그램,카페투어,onni_제천"
4223,comoosoo, 논현데이트하면서 들린 오마카세집 스시히나타 저번에도 한번 방문한 곳인데 맛있었던 기억이 이번에 또 갔다 역시나 맛있고 신선한 스시 맛있게 잘 먹고왔다 . . .,"스시히나타,논현,영동시장,논현맛집,신논현맛집,강남맛집,논현초밥,논현스시,스시맛집,초밥맛집,오마카세,스시,초밥,데이트,강남스시,스시오마카세,푸드스타그램,맛스타그램,먹스타그램,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
4224,kgm868686, 2019.06.07.,"맥심,화이트모카골드,믹스커피,카카오프렌즈,콜라보,어피치,보온병,너무,귀엽다,사은품,종류별로,다갖고싶다,소통,좋아요"
4225,own_ravelyy, '’ 다시 방문하고 싶은 곳,
4226,kgm868686, 2019.05.16. 날이 더우니깐 자꾸 시원한게 땡기네ㅋ 가격이 비싼만큼 양이 많다,"초록섬미역,부산시청점,한치물회,소고기양지물회,점심시간,먹스타그램,시원시원"
4227,comoosoo, 요즘 내 밥도둑 엄마게장 간장게장 국내산 암꽃게로 만들어 살이 가득가득 차있다 짜지않고 담백한 간장게장 감칠맛이........... 살 쭉쭉 짜내서 밥비벼먹거나 흰쌀밥에 올려먹으면 꿀맛 살도 탱글하고 알도 꽉 차있다 간장게장은 엄마게장 . . 구입 @motherscrab . .,"엄마게장,간장게장,게장,게장맛집,밥반찬,반찬,간장게장맛집,양념게장,장,밥도둑,주부스타그램,집밥,집밥스타그램,온더테이블,맛집,푸드스타그램,맛스타그램,먹스타그램,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily,onthetable,delicious"
4228,kgm868686, 2019.05.26.,"진주여행,당일치기,가좌산숲길,대나무길,너무좋다,우리는,짧은코스,산책,공기좋고,날씨좋고,약간더웠지만,굿,만족,너무,잘찾았다,친구,가이드,짱,여행스타그램,힐링,조용,우리스탈,소통,좋아요"
4229,c.eunae_, 올웨이즈어거스트 주문한 음료 마다 다 맛있어요 ! 개인적으로 밀크티그렘이 더 좋았어요 :),"은애_카페기록,올웨이즈어거스트,경산카페"
4230,cadette_jeon, 카페사진만 모아보니 정말 디저트를 필수적으로 주문해서 먹었네요 오마이갓,
4231,yun.sojin,,"운동스타그램,유산소운동,중랑천,밤에이쁨,다이어트그램,다이어트화이팅,몸무게뿌셔"
4232,yun.sojin,,"오늘점심메뉴,롯데리아,햄버거스타그램,오랫만에먹는다,남김,느끼해"
4233,cafe_onni, 직원이 그리 친절하지는 않았던걸로 기억,"안다즈커피,아차산역카페,카페스타그램,카페투어,onni_서울"
4234,comoosoo, 야식으로 먹은 치킨매니아 마약닭밟세트 치킨 1마리가격으로 치킨에 닭발까지 맛볼 수 있는 메뉴 닭발 진짜 존맛탱.... 여지껏 먹어본 닭발중에 제일 맛있다 치킨도 당연히 맛있고! 주먹밥에 닭발 올려먹으면 꿀맛 야식으로 안주로 좋으다 . . .,"치킨매니아,마약닭밟세트,마약닭밟,치킨,닭발,치킨스타그램,닭발스타그램,닭발맛집,국물닭발,무뼈닭발,매운닭발,뼈없는닭발,닭발배달,치킨추천,치킨맛집,푸드스타그램,맛스타그램,먹스타그램,먹스타,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily,fff"
4235,comoosoo, 더크랩시티에서 주문한 대게 도착! 선주가 그날 작업해 온 대게를 바로 배송받아 먹기때문에 저렴하고 신선하다! 신선한 생물로 받아 바로 쪄먹으니 꿀맛 살이 완전 통통하다~ 마무리로 대게 라면까지! 되게 맛있는 대게라면 . . 주문은 @the_crabcity . .,"대게,대게맛집,구룡포대게,대게주문,대게택배,맛집,포항맛집,포항대게,더크랩시티,대게배달,대게배송,라면,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,맛집그램,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
4236,_coffeeismylife_, ,
4237,kgm868686, 2020.06.23. ㅋㅋ 급만나자는 친구들 ㅎ 오랜만에 부산시민공원으로 고고 마트에서 닭강정사고 편의점서 과자 안주 맥주 음료수 사고 ㅋ 친구차에 있는 돗자리 꺼내서 ㅋ 나름 급만남 이라도 불편함 없이 준비하고 맛있게 냠냠ㅋㅋㅋ 박스테이블 ㅋ접는법 몰라 고전했지만 폰보고 완성 재밌다 날씨는 선선 좋네 사진은 포기 했지만 퇴근후 친구들과 이런시간 좋다 좋아~~~,"친구들,급만남,부산시민공원,피크닉,먹스타그램,술스타그램,먹방,맛있다,직장인스타그램,일상,소통,좋아요,굿"
4238,c.eunae_, talkraphy ! 날씨가 다했다 오늘 날씨 왕왕좋아 ,"은애_카페기록,강화도카페,토크라피,토크라피카페"
4239,time2drink_coffee, 싫어하는 시간,"해질녘,스타벅스,starbucks"
4240,kgm868686, 2019.06.09. 같은거 이름이 나도 기억안나ㅋㅋㅋ,"김해,율하카페거리,라벨스하이디,부산라떼,붕어싸만코빙수,부산우유,병,이쁘다,마늘빵,맛있다,분위기,굿,체인,부산에도,있음,카페스타그램"
4241,dolphinman9un, Single Origin : Bolivia Inquivisi ( 고로 커피 로스터스),
4242,kgm868686, 2017.4.26. 아무래도 동네 카페가 한적하고 좋구나 였던가? ㅋ 바닐라라떼 괜찮음,"구서동,라뽀아르,조용한카페,딸기크림타르트,아메리카노,바닐라라떼,레몬청"
4243,time2drink_coffee, 오늘 사람 진짜많았다,"세종시카페,조치원카페,고복저수지카페,카페재생,재생,플레이백,크림티라미수"
4244,yun.sojin,,온뜨레
4245,eeej_u,,"최애카페,루이루11,10주년행사,장유사람모여라,장유카페,김해카페,장유맛집,김해맛집,커피스타그램,로스팅카페,카페추천,동네카페,편안한느낌,일상스타그램,좋아요반사,맞팔환영"
4246,beatus__utopia," 사장님이 너무 친절하셨던,","카페홀맄,찌니_행궁동"
4247,kgm868686," 2020.03.23. 점심먹고 1,6일 마스크 살수 있는 월요일이라 마스크 현황 보고나서 회사 근처 약국에 전화하니 있다고 하네.. 대박 언능 챙겨입고 약국 궈궈 마스크 사고 나오면서 회사까지 오는 길에 도 폈고 도 폈고 회사 마당에 있는 꽃도 찍고 봄은 왔는데 마스크 사온 나는 너무 마음이 슬프네 언제 끝나려나~ 그나마 어플의 힘","점심시간,월요일,마스크구매,개나리,벚꽃,코로나19,마스크,5부제,사기힘들어,일상,소통,좋아요,굿"
4248,kgm868686, 2017.2.3. 도 완전 많음 맛있어 뒤쪽 ㅋ 가도 맛남 어제 술 안마신게 아쉽네,"점심,다른과에또꼽사리,대구탕,반찬,먹스타그램,여기,서면뽈태기찜,서면아니고,회사근처,국민연금공단,오랜만에,추울땐,뜨끈한국물,배터짐,직장인스타그램,해장느낌"
4249,comoosoo, 내가 자주 가는 경양식 치킨플래터 전문점 서기치킨 남자친구랑 강남데이트하면서 또 갔다옴! 매뉴 플레이팅도 깔끔하고 인테리어도 세련된게 데이트장소로 딱 좋다 그리고 맛까지 있으니 단골될 수 밖에 없음 이날도 넘나 맛나게 잘 먹고왔다 치킨은 역시 서기치킨 . . .,"강남역맛집,맛집,강남역모임장소,강남역치킨,강남역회식장소,강남역맥주,강남역맛집베스트10,강남역술집,강남역데이트,강남역단체모임,서기치킨강남역점,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
4250,time2drink_coffee, 카페 온화 세종점 콩자갈 바닥이 인상적인 따뜻하고 아늑한 느낌의 카페! 주말인데다 식후에 커피가 땡길 시간이면 3층까지 만석이라 웨이팅은 기본 배불러서 수플레 못먹었당.. 사람없을 시간에 와야지. @cafe_onhwa_sj,"세종시카페,아름동카페,카페온화,온화,온화세종점,수플레팬케이크,수플레맛집,핸드드립,맘에드는카페,아늑한카페,카페가기업수준,콩자갈바닥,세종카페,카페스타그램,아름동,아름동맛집,onwha,cafe_onwha"
4251,hh_hhm_, 많이 떨어졌지만 예쁘다 . .,"경주,경주여행,불국사,겹벚꽃,왕겹벚꽃,비안와서,좋고,여유로워서,좋다,일상,데일리,행복한,오프"
4252,yun.sojin,,"카트라이더러쉬플러스,은근재미남,친추하실분"
4253,cafe_onni,,"원주카페,소셜티클럽,홍차밀크티,자몽레몬에이드,원주혁신도시카페,카페스타그램,카페투어,onni_원주"
4254,kgm868686, 2020.03.26. 등등 먹고 ㅎㅎ 이랑 먹으며 부르고 축하드림 ㅎㅎ 큰조카 생일 축하노래 부르고 ㅎㅎ 같이 초불기 형부가 꽃다발 어무이께 선물 드린거 내가 자랑하기 ㅋㅋㅋ 꽃 이뿌당 어무이 생신 축하드려요,"3월27일,어무이생신,그전날,다모여서,생신파티,찰밥,미역국,조기,소불고기,꼬막,케익,딸기,생신축하,노래,사랑해요,건강하세요,일상,소통,좋아요,굿"
4255,kgm868686, 2019.07.12. 에서 쒼나게 놀고,"불금,3차,스타벅스,노래방,차한잔,달달구리,카페스타그램,굿,좋아용,마무리"
4256,comoosoo," 맛꾼푸드에서 주문한 순천 명물 보리떡 몽실이빵 이름보고 귀엽다고 생각했는데 포장은 더 귀엽잖아.... 무엇보다 개별포장이라서 좋다 가방에 쏙 넣고 나가서 출출할때 하나씩 까먹기 좋은 사이즈 구수하고 담백한맛으로 남녀노소 모두 부담없이 맛있에 먹을 수 있는 보리떡 몽실이빵 다이어트간식,아이간식으로도 추천! 이거 완전 건강간식 맛있고 건강한 맛 . . 구입 @matgoon . .","맛꾼푸드,보리떡,보리빵,찰보리빵,몽실이빵,떡순이,떡스타그램,빵순이,빵스타그램,영양간식,아이간식,식사대용,아침대용,디저트,다이어트,다이어트간식,간식,간식스타그램,간식추천,디저트스타그램,맛스타그램,먹스타그램,빵지순례,푸드,푸드스타그램,인스타푸드,선팔,맞팔,diet,dessert"
4257,cafe_onni, 최애샌드위치! 일할땐 역시 스벅,"제천카페,스타벅스,제천스타벅스,햄루꼴라올리브샌드위치,카페스타그램,카페투어,onni_제천"
4258,kgm868686, 2020.04.03. ㅋㅋ,"그냥그런토끼,카카오톡,이모티콘,선물받음,새로나옴,고마워,잘쓸게,귀욤,이모티콘부자,일상,소통,좋아요,굿"
4259,kgm868686, 2016.12.25. 이렇게 친구들과 집에서 함께 하는것도 하자 ㅎ 예뻐 받음,"크리스마스,홈파티,즐거움,내년에도,배터짐,술쟁이,와인잔,사랑해,친구들아,선물도,땡스"
4260,kgm868686, 2020.02.24. 적고 굿즈받기 @aladinbook 에서 선물받음,"알라딘,팔로우,댓글,이벤트,설날굿즈,읽고싶은책,당첨,랜덤,벨벳에코백,감사합니다,잘쓸게요,일상,소통,좋아요,굿"
4261,c.eunae_, 고즈넉해서 조탕,"은애_카페기록,주안카페,끽다점"
4262,yun.sojin,,"혜화맛집,프리모바치오바치,월요일시작,엄마랑데이트"
4263,cafe_onni,,"원주카페,12안젤로,12Angelo,단계동카페,봉화산택지,비엔나커피,카페스타그램,onni_원주"
4264,kgm868686, 2018.4.13.,"라이언차징스탠드,충전기,s9,사전예약,이벤트,5000원,득템,귀욤"
4265,eeej_u, 똥잠먹이랑급만남,"메리고라운드,장유카페,신상카페,카페스타그램,니트떡대"
4266,pin__gu__, 셀라,
4267,dolphinman9un, Clean da ,"mahlkonig,ek43,mahlkonigek43"
4268,time2drink_coffee,,"카페피치,청주카페,오송카페,청주,cafepeachy,오송호수공원"
4269,foodie_mingg, 한창 치돈에 빠졌을때 갓던곳!! 카레맛 특이하고맛낫던걸로 기억 . .,"뒷북업뎃,진해맛집,동양카레,진해동양카레,푸밍_진해,진해,진해맛집추천,진해핫플,창원맛집,창원핫플,맛스타그램,맛집,맛스타,맛집추천,맛집투어,먹스타그램,먹방,먹스타,먹스파맞팔,먹팔,경남맛집추천,경남맛집투어,진해자은동,자은동맛집"
4270,cafe_onni,,"카페단,단양카페,아포가토,단양카페단,단양맛집,카페스타그램,카페투어,onni_단양"
4271,o_ourcafe,,"북한강카페,액자뷰,뷰맛집"
4272,kgm868686, 2019.09.06. @selecto_coffee,"설렉토,연제구청점,멜로가체질,이벤트,당첨,자몽스파클링에이드,상큼,시원,맛있당,잘먹었어요,카페스타그램,당첨스타그램"
4273,by_karong, 좋다 아담하면서 따뜻해서... . . . place: . : . 사장님도 친절하시고 나무 느낌 너무 좋아요 디저트도 하나하나 다 맛잇어요 site: .,"소소한기록,카페탐방,카페스타그램,카페동선동,분위기좋은카페,따뜻한카페,성신여대카페,성신여대카페추천,카페동선동커피맛나,디저트맛집,카페투어,카페그램,카페기록,커피스타그램,카페탐방,팔로우환영,팔로우,팔로우백,카페추천,카페공유,선팔하면맞팔가요,선팔하면맞팔,catstagram,cafe,coffee,coffeelover,follow4followback,followforfollowbacks"
4274,cafe_onni,,"제천카페,순수해,장락동카페,SOONSOOHAE,제천케이크,카페스타그램,카페투어,onni_제천"
4275,comoosoo, 내 단골집 늘 백숙만 먹다가 이번엔 닭볶음탕 도전! 농가는 닭볶음탕도 맛있구나...감동 닭고기도 실하고 양념도 맛있어서 밥에 비벼먹으니 꿀맛 반찬도 잘 나와서 넘나 좋은 것 . . .,"일산맛집,농가,일산맛집추천,덕양구맛집,행주산성맛집,닭볶음탕,닭도리탕,일산데이트,일산모임,일산회식,일산모임장소,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily,맛집"
4276,comoosoo, 신청 데이트하면서 들린 맵당 매운갈비찜 매운맛 조절도 가능해서 내 입맛에 맞게 주문해먹을 수 있다 맛있게 매콤했던 갈비찜 진짜 존맛탱!! 회식이나 데이트장소로 추천하는 곳 . . .,"맛집,신천맵당,맵당신천점,신천,신천맛집,신천동맛집,신천데이트,신천역맛집,신천고기,신천역데이트,신천고기맛집,잠실새내,잠실새내역맛집,잠실새내맛집추천,잠실새내데이트,잠실야구장맛집,일상여유,소통합시다,푸드스타그램,맛스타그램,먹스타그램,선팔,맞팔,일상,데일리,존맛탱,JMT,food,daily"
4277,kgm868686, 2018.5.13.,"부산대,솔밭집,진해갔다가,저녁,야외,숲과함께,공기좋고,풍경좋고,파전,오리불고기,2통1반,막걸리,넘좋아,볶음밥진리,먹스타그램,술스타그램"
4278,comoosoo, 어제 저녁메뉴로 먹은 남다른감자탕 뼈해장국 꼬기 먼저 다 발라먹고 남은 국물에 밥말아먹으면 꿀맛 뼈해장국는 남다른감자탕이 최고 . . .,"신대방삼거리맛집,남다른감자탕,대방동맛집,보라매맛집,감자탕,뼈해장국,남자탕,저녁,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,일상,데일리,존맛탱,JMT,food,daily,fff,f4f,ootd,delicious"
4279,cafe.touring, 초크초크했던 티라미슈,
4280,kgm868686, 2020.03.12. 셀렉토 크림드랍 딸기 케이크 기프티콘 당첨되서 그것도 쓸겸 셀렉토에 갔다 코로나로 답답함을 달달구리로 이겨내보려고... 사장님이 크림 완전 많이 뿌려 주셨당 화산 폭발하듯이 ㅋㅋㅋ 비주얼 완전 짱임~ 단짠단짠 상큼 맛있다 굿~ 즐거운 점심시간 날씨조오타 @selecto_coffee 에서 선물받음,"셀렉토커피,연제구청점,발렌타인데이,이벤트,크림드랍딸기케이크,당첨,점심시간,아메리카노,자몽스파클링,카페스타그램,후기스타그램,직장인스타그램,일상,소통,좋아요,굿"
4281,foodie_mingg," 거제에 이런곳이,,, 있져,,, 작년에 방문했던 넘넘 파스타 맛집 . .","테이블,상동테이블,거제,거제도,거제도맛집,거제맛집,거제맛집추천,거제파스타,거제파스타맛집,상동맛집,상동테이블,맛스타,맛집,맛스타그램,맛집추천,먹방,먹스타그램,먹방스타그램,먹스타,먹스타맞팔,일상,데일리,파스타,파스타맛집"
4282,kgm868686, 2020.02.25. 얼마전 다리도 접질렀고 요즘 코로나로 신경을 많이 써서 그런가 삭신이 쑤시고 뻐근했는데 연필라테스 쿨링크림 받고 뭉친 근육 마사지 해주면서 펴바르니 시원하고 피로가 풀리는 기분이었다 흰크림으로 손목이랑 손가락 마디가 욱신해서 발랐더니 시원하고 풀리는 기분 ㅎ 굿 좋았다 @yeonpilates 인스타 참고하면 바르는 방법 따라하기 너무 예쁘시고 무료나눔의 착한마음씨까지  홈트 해볼려고 팔로우 한지 오래됐는데 피드가 너무 도움도 되고 한참을 빠지게 만들어서 너무 좋다 @yeonpilates 에서 선물받음,"연필라테스,무료나눔,쿨링크림,다리크림,강남구청필라테스,어깨,목,다리,손목,후기스타그램,감사합니다,잘쓰고있어요,일상,소통,좋아요,굿,홈트레이닝,날씬,건강"
4283,yun.sojin,,"브라운애비뉴,혜화카페,카페스타그램,카페맛집,샌드위치맛집,치팅데이"
4284,o_ourcafe,,"팔호광장카페,뷸라스빈"
4285,time2drink_coffee,,"쌍리,대전카페,대흥동카페"
4286,cafxxe," 부평동, 아담하고 아늑한 집",
4287,kgm868686, 2017.11.02. 완전,"회사행사,목요일,토르,영화의전당,유치하게볼만함,아무리그래도,토르는떡진긴머리가포인튼데,광안리까지,걷기,금강산횟집,회식,굿,맛있당,회는진리,먹스타그램,술스타그램,직장인스타그램,영화스타그램,사진엔없지만,술먹고,다같이,바이킹,타기가,꿀잼"
4288,cafe_onni,,"Goodsimple,여주카페,여주카페추천,굿심플,카페스타그램,카페투어,onni_여주"
4289,kgm868686, 2020.05.31. 낮에 소고기 든든하게 먹어서 저녁은 간단하고 시원한거 찾았는데 요기 ㅋ 그냥 쏘쏘~ 면은 얇았당,"저녁,울산,대일함흥냉면,먹스타그램,배부름,일상,소통,좋아요,굿"
4290,kgm868686, 2018.8.22. 일마치고 집뒤로 해가 뉘엿뉘엿 넘어가고 전부터 먹고싶어 노래부른,"감자전,두부김치,막걸리,저녁,부모님과,술스타그램,먹스타그램,냠냠,맛있당,감자전짱,배불"
4291,eeej_u, 박소휘랑오지게싸운날 말안들어 한옥카페 분위기좋았던곳 고구마라떼맛있었던곳!!!,"장유까페,장유맛집,카페뮤토,한옥카페,로스터리카페,맞팔,소통해요,팔로우환영,맛집스타그램,카페투어,카페탐방"
4292,o_ourcafe, - 오늘 같은 날씨에 딱,카페후드
4293,cafe.touring, 카카오프렌즈와 콰르텟 콜라보,
4294,o_ourcafe,,춘천
4295,kgm868686, 2017.2.20. 자꾸 월욜회식이네 입가심,"회식,월요일,요즘,돌마루,오리고기,삼겹살,된장찌개,배터지겠다,먹스타그램,술스타그램"
4296,comoosoo, 몽소 레드벨벳 크림치즈 듬뿍 올라가있다 우유랑 먹어도 커피랑 먹어도 맛있는 레드벨벳 파운드,몽소
4297,comoosoo, 가산 현대아울렛에 있는 101번지남산돈까스 고구마치즈돈까스 먹었는데 존맛탱 치즈가 듬뿍 들어있어서 좋다 . . .,"맛집,가산맛집,101번지남산돈까스,점심,돈까스,가산디지털단지,가산동맛집,가산디지털단지맛집,돈까스맛집,치즈돈까스,먹스타그램촵촵,간식,고기스타그램,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
4298,yyo_u1,,"경주,경주카페,황리단길카페,경주황남리어카,작년여름,coffee,힐링그자체,이맘때쯤"
4299,time2drink_coffee,,"롤링핀,rollingpin,세종시카페,빵집"
4300,o_ourcafe,,"춘천마카롱,롱마르쉐"
4301,time2drink_coffee,,"옛,카페옛,예뜨,yett,미드나잇,세종시카페"
4302,kgm868686, 2018.7.24.,"광안리,숨비소리,딱새우찜,철판통돌문어볶음,맥주,넘맛있당,먹스타그램,샌들선물받음,바다에발담그기,시원,좋다,야경보며,맥주,술스타그램,배불,잘먹었습니다,감사해용"
4303,kgm868686, 2020.03.28. 배도 부르고 상콤한게 먹고 싶어서 감 좋아하는 과일도 있고 리코타치즈랑 유자소스 선택해서 냠냠 맛있당 상콤 달달 생각보다 양많음 가격이 밥값이니 ㅋㅋㅋ,"도르샐러드,부산대,리코타치즈샐러드,먹스타그램,먹방,건강식,채소,과일,일상,소통,좋아요,굿,깔끔,좋아"
4304,kgm868686, 2020.07.22. 저녁 오리훈제 맥주랑 아부진 소주랑 엄무이는 담금주랑 각각 취술 골라서 먹기,"저녁,오리훈제,부모님과함께,냠냠,맛있다,수요일,먹스타그램,먹방,술스타그램,맛나요,일상,소통,좋아요,굿"
4305,comoosoo, 야식으로 먹은 백순대볶음 배달도 돼서 너무 편하다 신림까지 안가도 백순대를 먹을 수 있음 . . .,"맛집,신림맛집,신림역맛집,백순대,백순대볶음,야식,야식스타그램,간식,순대볶음,양지순대타운,푸드스타그램,맛스타그램,먹스타그램,맛있다그램,먹스타,먹부림,디저트,선팔,맞팔,선팔맞팔,일상,데일리,존맛탱,JMT,food,daily"
4306,cafe.ilsan, 토요일 주말의 당 떨어질 때 찾아가봐요.,"타이거슈가일산점,타이거슈가,타이거슈가일산,tigersugar,cafe"
